City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,andenes,69.3143,16.1194,4.99,65,75,8.23,NO,1674858715
245,todos santos,23.45,-110.2167,26.14,64,100,3.02,MX,1674858440
246,mandurah,-32.55,115.7,16.14,66,0,5.5,AU,1674858717
247,sibolga,1.7427,98.7792,23.39,92,100,1.22,ID,1674858486
248,leningradskiy,69.3833,178.4167,-29.04,93,63,3.27,RU,1674858718
249,kaitangata,-46.2817,169.8464,15.5,54,2,3.75,NZ,1674858718
250,margate,51.3813,1.3862,5.5,70,48,2.68,GB,1674858581
251,el real de santa maria,8.109,-77.7325,26.21,79,88,2.49,PA,1674858720
252,kroya,-7.6331,109.2461,24.66,88,99,1.1,ID,1674858720
253,taltal,-25.4,-70.4833,21.27,74,34,3.09,CL,1674858721
254,port hedland,-20.3167,118.5667,28.03,83,90,1.03,AU,1674858722
255,gorontalo,0.5412,123.0595,24.49,92,99,1.21,ID,1674858722
256,kerema,-7.9631,145.7785,27.37,81,98,2.07,PG,1674858723
257,santa maria,-29.6842,-53.8069,30.61,66,40,1.54,BR,1674858724
258,georgetown,5.4112,100.3354,25.96,87,20,1.03,MY,1674858625
259,tautira,-17.7333,-149.15,26.74,76,13,6.26,PF,1674858725
260,lazarev,52.225,141.5131,-20.83,92,100,3.6,RU,1674858726
261,chum phae,16.5443,102.0992,13.02,76,0,0.87,TH,1674858726
262,ponta do sol,32.6667,-17.1,16.35,61,24,3.39,PT,1674858727
263,itoman,26.1247,127.6694,12.01,66,40,11.83,JP,1674858728
264,galesong,-5.3166,119.3661,24.01,89,100,3.26,ID,1674858728
265,melbu,68.5044,14.8297,4.88,81,75,9.26,NO,1674858729
266,jackson,42.4165,-122.8345,10.47,67,0,1.54,US,1674858445
267,el cobre,20.0489,-75.9469,27.69,65,20,4.12,CU,1674858730
268,saint-augustin,51.226,-58.6502,-11.14,76,78,6.34,CA,1674858731
269,ixtapa,20.7,-105.2,25.13,78,75,4.63,MX,1674858731
270,buraydah,26.326,43.975,9.25,55,0,3.24,SA,1674858732
271,pangnirtung,66.1451,-65.7125,-31.0,76,40,4.63,CA,1674858733
272,ilulissat,69.2167,-51.1,-10.99,48,100,3.6,GL,1674858733
273,san jose,37.3394,-121.895,19.86,47,20,2.68,US,1674858720
274,rabaul,-4.1967,152.1721,27.87,70,80,1.88,PG,1674858734
275,hit,33.6416,42.8251,10.98,46,5,2.53,IQ,1674858735
276,urengoy,65.9667,78.3667,-16.22,98,76,4.14,RU,1674858736
277,cayenne,4.9333,-52.3333,25.02,83,100,1.03,GF,1674858737
278,vila do maio,15.1333,-23.2167,24.44,80,34,7.17,CV,1674858737
279,yamada,39.4667,141.95,-1.4,51,72,3.07,JP,1674858738
280,hefei,31.8639,117.2808,-5.99,79,0,3.0,CN,1674858739
281,yumen,40.2833,97.2,-10.37,50,1,9.42,CN,1674858739
282,vila franca do campo,37.7167,-25.4333,13.23,80,75,4.46,PT,1674858740
283,port macquarie,-31.4333,152.9167,26.05,70,52,0.93,AU,1674858468
284,knysna,-34.0363,23.0471,21.25,87,99,1.41,ZA,1674858741
285,alekseyevka,50.6309,38.6903,-6.82,89,88,2.16,RU,1674858742
286,aiken,33.5835,-81.5998,9.81,43,0,3.09,US,1674858624
287,sisimiut,66.9395,-53.6735,-11.87,66,100,3.87,GL,1674858677
288,dubovka,49.0583,44.829,-11.47,92,51,1.57,RU,1674858743
289,goderich,43.7501,-81.7165,-2.27,74,100,7.2,CA,1674858744
290,ostrovnoy,68.0531,39.5131,-4.85,82,100,9.4,RU,1674858745
291,moncton,46.1159,-64.8019,-3.73,44,0,4.63,CA,1674858490
292,bayir,37.2687,28.2167,5.29,85,33,1.88,TR,1674858746
293,sayyan,15.1718,44.3244,9.35,84,19,1.66,YE,1674858746
294,varna,43.2167,27.9167,5.13,95,100,5.66,BG,1674858747
295,sinop,41.7711,34.8709,7.96,54,100,4.01,TR,1674858537
296,meulaboh,4.1363,96.1285,22.98,92,100,2.95,ID,1674858748
297,kavieng,-2.5744,150.7967,28.78,71,96,4.82,PG,1674858681
298,chapais,49.7834,-74.8492,-18.12,91,98,4.41,CA,1674858749
299,rocha,-34.4833,-54.3333,23.59,83,100,2.66,UY,1674858750
300,sola,-13.8833,167.55,27.95,75,75,6.0,VU,1674858750
301,poya,-21.35,165.15,27.69,75,93,2.9,NC,1674858751
302,muzhi,65.3667,64.6667,-9.34,81,99,4.54,RU,1674858752
303,oktyabrskiy,54.4815,53.471,-12.77,96,77,3.81,RU,1674858752
304,griffith,41.5284,-87.4237,2.39,87,100,7.72,US,1674858753
305,bac lieu,9.285,105.7244,23.17,81,91,3.68,VN,1674858754
306,atar,20.5169,-13.0499,17.17,17,94,5.12,MR,1674858755
307,fort nelson,58.8053,-122.7002,-12.81,74,75,4.63,CA,1674858601
308,rosarito,32.3333,-117.0333,23.56,37,0,4.77,MX,1674858756
309,cobija,-11.0267,-68.7692,26.33,76,82,1.78,BO,1674858757
310,ballina,-28.8667,153.5667,26.12,84,44,0.46,AU,1674858758
311,humaita,-7.5061,-63.0208,24.15,96,91,0.65,BR,1674858759
312,nicoya,10.1483,-85.452,27.37,58,85,7.71,CR,1674858759
313,butaritari,3.0707,172.7902,27.5,78,13,8.04,KI,1674858760
314,puerto colombia,10.9878,-74.9547,28.05,80,22,12.42,CO,1674858761
315,nanortalik,60.1432,-45.2371,1.79,94,100,8.79,GL,1674858761
316,altamira,-3.2033,-52.2064,22.64,96,67,1.11,BR,1674858762
317,mount isa,-20.7333,139.5,29.87,54,29,2.57,AU,1674858763
318,shache,38.4167,77.2406,-11.61,92,83,1.33,CN,1674858763
319,flinders,-34.5833,150.8552,26.7,89,16,2.68,AU,1674858764
320,moose factory,51.2585,-80.6094,-13.0,72,100,4.63,CA,1674858764
321,lagoa,39.05,-27.9833,14.5,63,100,5.95,PT,1674858765
322,morant bay,17.8815,-76.4093,29.79,75,13,4.94,JM,1674858766
323,ardakan,32.31,54.0175,2.59,67,22,2.5,IR,1674858766
324,krasnoselkup,65.7,82.4667,-14.44,97,98,5.09,RU,1674858768
325,watertown,42.3709,-71.1828,4.01,56,75,3.09,US,1674858626
326,jalu,29.0331,21.5482,12.57,60,0,4.53,LY,1674858769
327,sitka,57.0531,-135.33,4.94,87,75,4.63,US,1674858769
328,nipawin,53.3668,-104.0009,-19.98,71,20,2.57,CA,1674858770
329,sakaiminato,35.55,133.2333,-0.01,100,75,0.51,JP,1674858708
330,lompoc,34.6391,-120.4579,22.79,60,0,9.83,US,1674858596
331,chililabombwe,-12.3648,27.8229,17.23,97,100,1.68,ZM,1674858771
332,kota bahru,6.1333,102.2386,22.97,94,40,0.0,MY,1674858772
333,komsomolskiy,40.4272,71.7189,-6.6,79,43,0.51,UZ,1674858773
334,tatawin,32.9297,10.4518,6.55,51,0,3.81,TN,1674858773
335,karpogory,64.0019,44.4451,-9.89,91,99,3.34,RU,1674858774
336,cabo san lucas,22.8909,-109.9124,23.12,56,40,5.66,MX,1674858775
337,amudat,1.95,34.95,19.76,48,13,2.63,UG,1674858775
